축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명,외국인방문수,사진
제18회기산국악제전,기산국악당+동의보감촌,2024-10-04,2024-10-06,추모제+박헌봉국악상시상+국악한마당공연+전국국악경연대회,기산국악제전위원회,경상남도 산청군청,,055-970-6402,https://www.sancheong.go.kr/tour/contents.do?key=2001,,경상남도 산청군 단성면 상동길 69,경상남도 산청군 단성면 사월리 1399,35.27616022,127.934248,2025-03-07,5450000,경상남도 산청군,31,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제16회불교문화제전,성철공원,2024-10-12,2024-10-12,음악회+불교문화체험및전시,산청불교사암연합회,경상남도 산청군청,,055-970-6403,https://www.sancheong.go.kr/tour/contents.do?key=6329,,,경상남도 산청군 단성면 묵곡리 949,35.277656,127.964971,2025-03-07,5450000,경상남도 산청군,79,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제16회산청목화축제,목면시배유지,2024-10-27,2024-10-27,무명베짜기재현+모듬북공연+음악회+무명옷패션쇼+목화체험,산청무명베짜기보존회,경상남도 산청군청,,055-970-6411,,,경상남도 산청군 단성면 목화로 887,경상남도 산청군 단성면 사월리 105-1,35.29061291,127.9580563,2025-03-07,5450000,경상남도 산청군,34,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제20회 예래생태체험축제,예래 논짓물 일원,2022-07-30,2022-07-31,생태마을탐방+맨손으로 넙치잡기+노래자랑 등,예래생태체험축제위원회,예래동주민자치위원회,,064-760-4845,https://seogwipo.go.kr/festivals/yerae/info/intro.htm,,제주특별자치도 서귀포시 예래해안로 256,제주특별자치도 서귀포시 하예동 532-3,33.23654976,126.3887523,2025-06-24,6520000,제주특별자치도 서귀포시,92,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제40회 서귀포유채꽃축제 (축제명칭 변경),가시리 유채꽃광장 일대,2023-03-31,2023-04-02,유채꽃밭 관람+공연+체험 등,서귀포유채꽃축제조직위원회,제주특별자치도 서귀포시,,064-760-3942,http://www.seogwipo.go.kr/festivals/uchae/index.htm,,제주특별자치도 서귀포시 표선면 녹산로 381-15,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.383096,126.736285,2025-06-24,6520000,제주특별자치도 서귀포시,157,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제25회 서귀포유채꽃국제걷기대회,제주월드컵경기장 광장 및 서귀포시 일원,2023-03-25,2023-03-26,유채꽃 걷기 대회,(사)서귀포시관광협의회,제주특별자치도 서귀포시+(사)한국체육진흥회,,064-760-3320,https://cafe.daum.net/seogwipo-walking,,제주특별자치도 서귀포시 월드컵로 33,,33.246219,126.509275,2025-06-24,6520000,제주특별자치도 서귀포시,107,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
가파도청보리축제,대정읍 가파도 일원,2023-04-08,2023-04-16,청보리 밭+올레길 걷기+소망돌탑쌓기+버스킹(주말) 등,가파도청보리축제위원회,대정읍사무소,,064-760-4085,https://www.seogwipo.go.kr/festivals/cheongbori/index.htm,,제주특별자치도 서귀포시 대정읍 가파로67번길,,33.1688979,126.271532,2025-06-24,6520000,제주특별자치도 서귀포시,113,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
봉화송이축제,내성천 주변,2025-10-16,2025-10-19,송이채취+시식회 등,(재)봉화축제관광재단,경상북도 봉화군청,,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화송이축제,,경상북도 봉화군 봉화읍 내성리 506,36.89039738,128.7379707,2025-06-27,5240000,경상북도 봉화군,31,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
한겨울 분천 산타마을 축제,분천역,2024-12-21,2025-02-16,산타썰매+크리스마스우체통+소원트리 등,(재)봉화축제관광재단,경상북도 봉화군청,,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화은어축제,경상북도 봉화군 소천면 분천길 49,,36.93259564,129.0586755,2025-06-27,5240000,경상북도 봉화군,104,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
김삿갓문화제,김삿갓유적지 일원,2025-10-17,2025-10-19,김삿갓제향+김삿갓문학상+김삿갓 해학의 길 걷기+조선시대 과거대전,영월문화관광재단,영월문화관광재단,강원특별자치도 영월군+강원랜드,033-375-6353,https://www.ywcf.or.kr/,,강원특별자치도 영월군 김삿갓면 김삿갓로 216-22,강원특별자치도 영월군 김삿갓면 와석리 913-1,37.07949201,128.6017366,2025-06-25,4271000,강원특별자치도 영월군,90,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
하동야생차문화축제,하동야생차박물관+치유관 일원,2025-05-02,2025-05-05,시배지 헌다례+찻잔속 버스킹+움직이는 미술관+경연행사+체험행사 등,(사)하동야생차문화축제조직위원회,(사)하동야생차문화축제조직위원회,,055-880-6583,,,경상남도 하동군 화개면 쌍계로 571-25,경상남도 하동군 화개면 운수리 664,35.22773215,127.6426921,2025-08-25,B551011,한국관광공사,82,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
한산모시문화제,한산모시관,2025-06-13,2025-06-15,저산팔읍길쌈놀이+모시옷패션쇼+모시학교+미니베틀짜기체험+모시옷 입기 체험+한산주막 체험+모시잎차 다례체험+모시천연염색 등,(재)서천문화관광재단+한산모시문화제추진위원회,충청남도 서천군,문화체육관광부+ 충청남도청+ NH농협은행 서천군지부+신협중앙회,041-957-9045,www.hansanmosi.kr/,,충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.0799446,126.7987038,2025-08-25,B551011,한국관광공사,4,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
철원 한탄강 얼음트레킹 축제,철원 한탄강 물윗길 트레킹 코스 일원,2025-01-11,2025-01-19,공연+행사+포토존+윈터랜드 눈썰매장+아이스랜드 얼음놀이터+얼음트레킹코스+한탄강 짚라인 등,강원특별자치도 철원군+철원군의회,재단법인 철원문화재단,,033-455-7072,https://gcwcf.or.kr/,,,강원특별자치도 철원군 동송읍 장흥리 25-203,38.18909327,127.2949418,2025-08-25,B551011,한국관광공사,62,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
함평나비대축제,함평엑스포공원,2025-04-25,2025-05-06,나비판타지아 퍼레이드쇼+나비콘서트+전국나비댄스 경연대회+야외나비날리기+나비가면 만들기 등,함평축제관광재단,전라남도 함평군,,061-320-2247,https://www.hpftf.or.kr/contentsView.do?pageId=www142,,전라남도 함평군 함평읍 곤재로 27,전라남도 함평군 함평읍 수호리 1153-1,35.05813923,126.5226056,2025-08-25,B551011,한국관광공사,111,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
화성 뱃놀이 축제,전곡항 일원,2025-05-30,2025-06-01,승선체험 프로그램+바람의 사신단 댄스 퍼포먼스+독살체험+수상레저기구 및 해양쓰레기 미니어처 만들기+공연 프로그램 등,화성시문화관광재단,경기도 화성시,,070-7733-0390,https://hs-boatingfestival.com/,,경기도 화성시 서신면 전곡항로 5,,37.18560049,126.6510546,2025-08-25,B551011,한국관광공사,234,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
얼음나라화천 산천어축제,화천천 일원,2025-01-11,2025-02-02,산천어체험+눈/얼음체험+얼음나라방송국+호국이체험존+먹거리등,강원특별자치도 화천군+재단법인나라,강원특별자치도 화천군+재단법인나라,,1688-3005,https://www.narafestival.com/01_icenara/,,,강원특별자치도 화천군 화천읍 중리 196,38.10894256,127.7101485,2025-08-25,B551011,한국관광공사,174,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
진도군 보배섬 문화예술제,진도향토문화회관 일원,2025-10-31,2025-11-02,개막공연+강강술래 한마당 잔치+진도북놀이 페스티벌 등,(사)한국예총진도지회,전라남도 진도군,,061-540-3072,https://www.jindo.go.kr/tour/tour/info/festival.cs?act=view&infoId=99&searchCondition=&searchKeyword=&pageIndex=1,,전라남도 진도군 진도읍 진도대로 7197,전라남도 진도군 진도읍 동외리 1189,34.47975717,126.2685772,2025-08-20,5000000,전라남도 진도군,68,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
명량대첩축제,녹진관광지 일원,2025-09-19,2025-09-21,해전재현+출정식+만가행진+부대행사 등,(재)명량대첩기념사업회,전라남도+전라남도 진도군+전라남도 해남군,문화체육관광부+한국관광공사 등,061-540-3407,http://www.mldc.kr/web/,,전라남도 진도군 군내면 진도대로 8459-13,전라남도 진도군 군내면 녹진리 1,34.570758,126.300937,2025-08-20,5000000,전라남도 진도군,150,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
광양매화축제,다압면 매화마을 일원,2025-03-07,2025-03-16,공연+경연+체험+전시+판매+부대행사,광양매화축제추진위원회,광양매화축제추진위원회,전라남도 광양시,061-797-2721,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,2025-06-20,4840000,전라남도 광양시,57,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
광양천년동백축제,옥룡사지 동백숲 일원,2025-04-05,2025-04-06,공연+경연+체험+전시+판매+부대행사,광양동백축제추진위원회,광양동백축제추진위원회,전라남도 광양시,061-797-4221,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥룡면 신재로 624,전라남도 광양시 옥룡면 운평리 262,35.01695051,127.6192703,2025-06-20,4840000,전라남도 광양시,90,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
백운산국사봉철쭉축제,옥곡면 국사봉 일원,2025-04-19,2025-04-20,공연+경연+체험+전시+판매+부대행사,백운산국사봉철쭉축제추진위원회,백운산국사봉철쭉축제추진위원회,전라남도 광양시,061-797-4233,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 옥곡면 옥진로 656,전라남도 광양시 옥곡면 신금리 1375-3,34.98960476,127.6985979,2025-06-20,4840000,전라남도 광양시,94,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
광양전어축제,진월면 망덕포구 일원,2025-08-01,2025-08-01,공연+경연+체험+전시+판매+부대행사,광양전어축제추진위원회,광양전어축제추진위원회,전라남도 광양시,061-797-3679,http://www.gwangyang.go.kr/tour_culture,,전라남도 광양시 진월면 망덕길 265,전라남도 광양시 진월면 망덕리 12-1,34.97164706,127.7587907,2025-06-20,4840000,전라남도 광양시,149,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
산나물축제,도시산림공원 토리숲,2024-04-26,2024-04-28,축제,(재)홍천문화재단,(재)홍천문화재단,강원특별자치도 홍천군,,,,강원특별자치도 홍천군 홍천읍 산림공원1길 29,,,,2024-12-16,4251000,강원특별자치도 홍천군,124,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
찰옥수수축제,홍천 종합운동장 주차장,2024-07-19,2024-07-21,축제,(재)홍천문화재단,(재)홍천문화재단,강원특별자치도 홍천군,,,,강원특별자치도 홍천군 홍천읍 산림공원1길 29,,,,2024-12-16,4251000,강원특별자치도 홍천군,98,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
맥주축제,도시산림공원 토리숲,2024-07-31,2024-08-04,축제,(재)홍천문화재단,(재)홍천문화재단,강원특별자치도 홍천군,,,,강원특별자치도 홍천군 홍천읍 산림공원1길 29,,,,2024-12-16,4251000,강원특별자치도 홍천군,85,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
인삼한우축제,도시산림공원 토리숲,2024-10-03,2024-10-06,축제,(재)홍천문화재단,(재)홍천문화재단,강원특별자치도 홍천군,,,,강원특별자치도 홍천군 홍천읍 산림공원1길 29,,,,2024-12-16,4251000,강원특별자치도 홍천군,35,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
사과축제,도시산림공원 토리숲,2024-11-01,2024-11-03,축제,(재)홍천문화재단,(재)홍천문화재단,강원특별자치도 홍천군,,,,강원특별자치도 홍천군 홍천읍 산림공원1길 29,,,,2024-12-16,4251000,강원특별자치도 홍천군,145,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제30회 대덕제 「대구앞산축제」,남구구민체육광장 일원,2025-05-17,2025-05-18,공연+체험,대구광역시 남구,대구광역시 남구,대구광역시 남구,053-664-2000,https://www.nam.daegu.kr/,,대구광역시 남구 이천로 51,대구광역시 남구 봉덕동 565-5,35.84594995,128.5975989,2025-07-15,6270000,대구광역시,812,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제5회 떡볶이 페스티벌,DGB대구은행파크,2025-05-09,2025-05-11,체험+공연,대구광역시 북구,대구광역시 북구,대구광역시 북구,053-665-2000,https://www.buk.daegu.kr/,,대구광역시 북구 옥산로 65,대구광역시 북구 침산동 447-16,35.8856843,128.5827802,2025-07-15,6270000,대구광역시,985,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 금호강 바람소리길 축제,금호강 산격대교 하단,2025-09-27,2025-09-28,공연+전시,대구광역시 북구,대구광역시 북구,대구광역시 북구,053-665-2000,https://www.buk.daegu.kr/,,대구광역시 북구 옥산로 65,대구광역시 북구 침산동 447-16,35.8856843,128.5827802,2025-07-15,6270000,대구광역시,1277,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
수성못페스티벌,수성못,2025-09-26,2025-09-28,공연+전시,대구광역시 수성구,대구광역시 수성구,대구광역시 수성구,053-666-2000,https://www.suseong.kr/,,대구광역시 수성구 달구벌대로 2450,대구광역시 수성구 범어동 238-3,35.85820008,128.6306298,2025-07-15,6270000,대구광역시,942,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
장미꽃 필 무렵,이곡장미공원 등,2025-05-09,2025-05-11,전시+체험,대구광역시 달서구,대구광역시 달서구,대구광역시 달서구,053-667-2000,https://www.dalseo.daegu.kr/,,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동 281,35.82991552,128.5328356,2025-07-15,6270000,대구광역시,500,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
선사문화체험축제,한샘청동공원 등,2025-04-26,2025-04-27,전시+체험,대구광역시 달서구,대구광역시 달서구,대구광역시 달서구,053-667-2000,https://www.dalseo.daegu.kr/,,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동 281,35.82991552,128.5328356,2025-07-15,6270000,대구광역시,956,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
고택음악회,병암서원,2025-08-30,2025-08-30,공연,대구광역시 달서구,대구광역시 달서구,대구광역시 달서구,053-667-2000,https://www.dalseo.daegu.kr/,,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동 281,35.82991552,128.5328356,2025-07-15,6270000,대구광역시,1017,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
희망달서 대축제,달서아트센터 일원,2025-10-11,2025-10-12,공연+전시,대구광역시 달서구,대구광역시 달서구,대구광역시 달서구,053-667-2000,https://www.dalseo.daegu.kr/,,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동 281,35.82991552,128.5328356,2025-07-15,6270000,대구광역시,616,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제29회 비슬산 참꽃 문화제,비슬산 일원,2025-04-12,2025-04-13,전시+체험,대구광역시 달성군,대구광역시 달성군,대구광역시 달성군,053-668-2000,https://www.dalseong.daegu.kr/,,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,35.77466317,128.4313897,2025-07-15,6270000,대구광역시,1128,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 yes 키즈존(1차),강정보 디아크 광장+국립대구과학관,2025-05-10,2025-05-11,전시+체험,대구광역시 달성군,대구광역시 달성군,대구광역시 달성군,053-668-2000,https://www.dalseong.daegu.kr/,,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,35.77466317,128.4313897,2025-07-15,6270000,대구광역시,543,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025 yes 키즈존(2차),강정보 디아크 광장+국립대구과학관,2025-05-31,2025-06-01,전시+체험,대구광역시 달성군,대구광역시 달성군,대구광역시 달성군,053-668-2000,https://www.dalseong.daegu.kr/,,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 금포리 1313,35.77466317,128.4313897,2025-07-15,6270000,대구광역시,888,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
군위 삼장군 단오축제,효령면 고지바위권역센터 일대,2025-05-31,2025-05-31,체험+공연,대구광역시 군위군,대구광역시 군위군,대구광역시 군위군,054-380-6114,https://www.gunwi.go.kr/,,대구광역시 군위군 군위읍 군청로 200,대구광역시 군위군 군위읍 동부리 229,36.24323422,128.5725142,2025-07-15,6270000,대구광역시,1016,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
의견문화제,오수의견공원,2025-05-03,2025-05-05,반려동물 패션쇼+반려동물 토크쇼+반려동물 참여 및 체험프로그램+반려동물 산업박람회,의견문화제전위원회,의견문화제전위원회,전북특별자치도 임실군,063-642-5292,,,전북특별자치도 임실군 오수면 충효로 2096-16,전북특별자치도 임실군 오수면 오수리 33,35.54520247,127.3326779,2025-07-15,4761000,전북특별자치도 임실군,122,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
산타축제,임실치즈테마파크,2025-12-25,2025-12-28,산타 및 겨울 관련 공연 이벤트 체험행사 등,(재)임실치즈테마파크,(재)임실치즈테마파크,전북특별자치도+전북특별자치도 임실군,063-643-2300,www.cheesepark.kr,,전북특별자치도 임실군 성수면 도인2길 50,전북특별자치도 임실군 성수면 도인리 689,35.63310329,127.3012599,2025-07-15,4761000,전북특별자치도 임실군,123,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
임실N치즈축제,임실치즈테마파크,2025-10-08,2025-10-12,임실N치즈를 소재로한 다양한 볼거리+먹거리+체험행사,(재)임실N치즈축제 제전위원회,(재)임실N치즈축제 제전위원회,문체부+전북특별자치도+전북특별자치도 임실군,063-643-3900,www.imsilfestival.com,,전북특별자치도 임실군 성수면 도인2길 50,전북특별자치도 임실군 성수면 도인리 689,35.63310329,127.3012599,2025-07-15,4761000,전북특별자치도 임실군,145,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
옥정호 벚꽃축제,옥정호 출렁다리 앞 광장,2025-04-05,2025-04-06,임실 옥정호 벚꽃개화 시기 축하공연+체험행사+다양한 볼거리 먹거리 등,전북특별자치도 임실군청,전북특별자치도 임실군청,,063-640-4553,,,,전북특별자치도 임실군 운암면 입석리 409,35.6324266,127.1522078,2025-07-15,4761000,전북특별자치도 임실군,170,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
2025년 섬 겨울꽃 축제,1004섬 분재정원,2025-12-19,2026-01-31,개막식+전시공연+체험프로그램+특별기획전등,축제추진위원회,전라남도 신안군청,,061-240-5445,https://tour.shinan.go.kr/,,전라남도 신안군 압해읍 무지개길 330,,,,2025-08-08,5010000,전라남도 신안군,112,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
강진 하맥축제,강진종합운동장,2025-08-28,2025-08-30,맥주축제+가수공연 등,강진군축제추진위원회,전라남도 강진군,OB오비맥주,061-430-3357,https://www.gangjin.go.kr,,전라남도 강진군 군동면 종합운동장길 60 강진종합운동장,전라남도 강진군 군동면 호계리 1076,34.64527283,126.781307,2025-08-11,6460000,전라남도,128,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
목포 항구축제,목포항 및 삼학도 일원,2025-09-26,2025-09-28,파시장터+해상야시장바다콘서트+항구디스코파티+난영가요제,목포 관광문화교육국 관광과 축제팀,전라남도 목포시,,061-270-8441,https://www.mokpo.go.kr,,전라남도 목로시 해안로 182,전라남도 목포시 항동 6-10,34.78200847,126.3841888,2025-08-11,6460000,전라남도,65,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
장보고수산물축제,해변공원+해양치유센터 일원,2024-05-03,2024-05-06,전통노젓기+해조류김밥만들기+열린무대 등,완도장보고수산물축제 추진위원회,전라남도 완도군청,전라남도청+농협중앙회완도군지부,061-550-5411,www.wando.go.kr,,전라남도 완도군 완도읍 해변공원로 24,전라남도 완도군 완도읍 군내리 1443-1,34.317447,126.752759,2024-08-01,4990000,전라남도 완도군,84,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
청산도슬로걷기축제,청산도일원,2024-04-06,2024-04-21,나비야청산가자+청상도 릴레이걷기 등,청산도슬로우걷기축제추진위원회,전라남도 완도군청,전라남도 완도군청,061-550-5433,www.wando.go.kr,,전라남도 완도군 청산면 청산로 46,전라남도 완도군 청산면 도청리 1173-10,34.1797101,126.857789,2024-08-01,4990000,전라남도 완도군,6,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
반계리 은행나무축제,반계리 은행나무광장,2025-11-01,2025-11-01,기획전시+체험프로그램 운영 등,반계권역창조적마을,반계권역창조적마을,강원특별자치도 원주시청,,,,,강원특별자치도 원주시 문막읍 반계리 1495-1,37.2942081,127.7884224,2025-06-30,4191000,강원특별자치도 원주시,115,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
섬강축제,간현관광지 일원,2025-11-01,2025-11-02,버스킹 공연+농특산물 직거래 장터 운영 등,섬강축제위원회,섬강축제위원회,강원특별자치도 원주시청,033-737-5504,,,강원특별자치도 원주시 소금산길 12,강원특별자치도 원주시 지정면 간현리 1056-24,37.36457641,127.834038,2025-06-30,4191000,강원특별자치도 원주시,76,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
신월랑 달빛 축제,행구동 수변공원 일원,2025-06-14,2025-06-15,"체험 프로그램+먹거리 부스+경연, 시민참여 프로그램 등",강원특별자치도 원주시청,강원특별자치도 원주시청,강원특별자치도 원주시청,033-737-5125,,,강원특별자치도 원주시 행구로362,강원특별자치도 원주시 행구동 1026,37.34234059,127.9954158,2025-06-30,4191000,강원특별자치도 원주시,39,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
봉화은어축제,내성천 주변,2025-07-26,2025-08-03,은어반두잡이+맨손잡이 체험 등,(재)봉화축제관광재단,경상북도 봉화군청,,054-674-3053,https://bhftf.co.kr:8091/,분천산타마을+봉화은어축제,,경상북도 봉화군 봉화읍 내성리 506,36.89039738,128.7379707,2025-06-27,5240000,경상북도 봉화군,146,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
평창송어축제,평창송어축제장,2025-01-03,2025-02-02,얼음낚시+텐트낚시+어린이낚시터+황금송어맨손잡기+얼음광장체험놀이 등,평창송어축제위원회,평창송어축제위원회,문화체육관광부+강원특별자치도청+한국관광공사,033-336-4000,https://www.festival700.or.kr/,,강원특별자치도 평창군 진부면 경강로 3562,강원특별자치도 평창군 진부면 하진부리 325,37.63321778,128.5570396,2025-08-25,B551011,한국관광공사,70,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
평창효석문화제,이효석문화마을 일원,2025-09-05,2025-09-14,메밀꽃밭 산책로 탐방+당나귀 승마체험+메밀꽃깡통열차+흥정천갯가책방+로컬마켓 운영+메밀꽃 버스킹+문화공연 등,사)이효석문학선양회,사)이효석문학선양회,강원특별자치도청+강원특별자치도 평창군청+문화체육관광부+한국관광공사,033-335-2323,http://www.hyoseok.com,,강원특별자치도 평창군 봉평면 이효석길 157 (봉평면),강원특별자치도 평창군 봉평면 원길리 764-1,37.6139795,128.3715549,2025-08-25,B551011,한국관광공사,152,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
포항국제불빛축제,형산강 체육공원 외 포항시 일원,2025-06-14,2025-06-22,국제 불꽃쇼+불빛 드론쇼+드론라이트쇼+라이트 아트웨이+거리퍼레이드+데일리불꽃쇼+불빛 뮤직페스타+프린지공연+불빛테마존 등,(재)포항문화재단,경상북도 포항시,에코프로+대구은행+농협+세아제강+금복주,054-289-7852,http://festival.phcf.or.kr/fireWorks/intro.do,,,경상북도 포항시 남구 해도동 115-1,36.01760149,129.3745215,2025-08-25,B551011,한국관광공사,154,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
만드리풍년제,송학초등학교 운동장,2025-09-19,2025-09-19,공식행사+들노래재현+문화예술공연+전통문화체험부스,광주광역시 서구청,만드리보존회,,062-350-4988,seogu.gwangju.kr,,광주광역시 서구 눌재로 408,광주광역시 서구 세하동 532,35.11304585,126.8303549,2025-08-31,3600000,광주광역시 서구,749,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
양동통맥축제,양동전통시장,2025-10-30,2025-11-01,공식행사+프리마켓+문화공연+양동야시장,광주광역시 서구청,양동전통시장 활성화 협의체,"광주광역시서구의회, OB, 보해, 협의중",062-360-7683,seogu.gwangju.kr,,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15390747,126.9025577,2025-08-31,3600000,광주광역시 서구,791,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
광주서창억새축제,영산강(극락교~서창교 나눔누리숲)일원,2025-10-16,2025-10-19,공식행사+멍때리기대회+SG 다이닝+나눔누리 노을530+체험행사 등,광주광역시 서구청,광주광역시 서구청,광주광역시청,062-350-4792,seogu.gwangju.kr,,광주광역시 서구 서창둑길 377,광주광역시 서구 벽진동 505-1,35.13849414,126.8287602,2025-08-31,3600000,광주광역시 서구,979,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제22회 사상전통달집놀이,삼락생태공원,2025-02-12,2025-02-12,영월기원제+달집태우기+민속놀이 등,사상문화원,부산광역시 사상구청,,051-310-4062,http://www.sasangculture.or.kr/,,부산광역시 사상구 낙동대로 1231,부산광역시 사상구 삼락동 29-51번지,35.16739991,128.9728277,2025-09-08,3390000,부산광역시 사상구,1193,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제22회 사상강변축제,삼락생태공원,2025-09-20,2025-09-21,개막식+불꽃놀이+강변음악회+강변가요제+체험부스 등,사상문화원,부산광역시 사상구청,,051-310-4062,http://www.sasangculture.or.kr/,,부산광역시 사상구 낙동대로 1231,부산광역시 사상구 삼락동 29-70번지,35.15990131,128.9715748,2025-09-08,3390000,부산광역시 사상구,984,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
제11회 해운대 빛축제,구남로+해운대해수욕장+등,2024-12-14,2025-02-02,빛시설물 전시+체험프로그램 등,부산광역시 해운대구청,부산광역시 해운대구청,,051-749-4062,,,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.16313992,129.1635303,2025-09-08,3330000,부산광역시 해운대구,962,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222162111363_thumbL
